Date,Country,Confirmed,Recovered,Deaths
2020-07-16,Afghanistan,35070,22824,1113
2020-07-16,Albania,3851,2137,104
2020-07-16,Algeria,21355,15107,1052
2020-07-16,Andorra,877,803,52
2020-07-16,Angola,607,124,28
2020-07-16,Antigua and Barbuda,74,57,3
2020-07-16,Argentina,114783,49120,2112
2020-07-16,Armenia,33559,21931,607
2020-07-16,Australia,11233,8114,116
2020-07-16,Austria,19270,17244,711
2020-07-16,Azerbaijan,26165,17256,334
2020-07-16,Bahamas,124,91,11
2020-07-16,Bahrain,35084,30809,121
2020-07-16,Bangladesh,196323,106963,2496
2020-07-16,Barbados,104,90,7
2020-07-16,Belarus,65623,56915,485
2020-07-16,Belgium,63238,17253,9795
2020-07-16,Belize,40,22,2
2020-07-16,Benin,1463,557,28
2020-07-16,Bhutan,86,78,0
2020-07-16,Bolivia,54156,16979,1984
2020-07-16,Bosnia and Herzegovina,7681,3534,240
2020-07-16,Botswana,522,48,1
2020-07-16,Brazil,2012151,1397531,76688
2020-07-16,Brunei,141,138,3
2020-07-16,Bulgaria,8144,3927,293
2020-07-16,Burkina Faso,1038,882,53
2020-07-16,Burma,339,270,6
2020-07-16,Burundi,303,207,1
2020-07-16,Cabo Verde,1894,902,19
2020-07-16,Cambodia,171,133,0
2020-07-16,Cameroon,16157,13728,373
2020-07-16,Canada,111144,74433,8875
2020-07-16,Central African Republic,4373,1265,53
2020-07-16,Chad,886,799,75
2020-07-16,Chile,323698,295301,7290
2020-07-16,China,85314,80018,4644
2020-07-16,Colombia,165169,71736,6164
2020-07-16,Comoros,328,311,7
2020-07-16,Congo (Brazzaville),2358,589,48
2020-07-16,Congo (Kinshasa),8199,4248,193
2020-07-16,Costa Rica,9546,2673,42
2020-07-16,Cote d'Ivoire,13554,7363,87
2020-07-16,Croatia,4039,2729,120
2020-07-16,Cuba,2440,2285,87
2020-07-16,Cyprus,1031,845,19
2020-07-16,Czechia,13612,8640,355
2020-07-16,Denmark,13325,12396,610
2020-07-16,Diamond Princess,712,651,13
2020-07-16,Djibouti,4993,4796,56
2020-07-16,Dominica,18,18,0
2020-07-16,Dominican Republic,48743,23636,941
2020-07-16,Ecuador,71365,31260,5207
2020-07-16,Egypt,85771,26691,4120
2020-07-16,El Salvador,10957,6257,298
2020-07-16,Equatorial Guinea,3071,842,51
2020-07-16,Eritrea,251,149,0
2020-07-16,Estonia,2016,1904,69
2020-07-16,Eswatini,1552,736,21
2020-07-16,Ethiopia,8475,2430,148
2020-07-16,Fiji,26,18,0
2020-07-16,Finland,7293,6880,328
2020-07-16,France,211102,79161,30141
2020-07-16,Gabon,6121,3664,46
2020-07-16,Gambia,78,34,3
2020-07-16,Georgia,1006,883,15
2020-07-16,Germany,201450,186400,9087
2020-07-16,Ghana,26125,22270,139
2020-07-16,Greece,3939,1374,193
2020-07-16,Grenada,23,23,0
2020-07-16,Guatemala,32939,4807,1404
2020-07-16,Guinea,6359,5012,39
2020-07-16,Guinea-Bissau,1902,773,26
2020-07-16,Guyana,315,156,19
2020-07-16,Haiti,6948,3606,145
2020-07-16,Holy See,12,12,0
2020-07-16,Honduras,30867,3420,835
2020-07-16,Hungary,4279,3156,595
2020-07-16,Iceland,1914,1892,10
2020-07-16,India,1003832,635757,25602
2020-07-16,Indonesia,81668,40345,3873
2020-07-16,Iran,267061,230608,13608
2020-07-16,Iraq,86148,54316,3522
2020-07-16,Ireland,25698,23364,1749
2020-07-16,Israel,46059,20370,384
2020-07-16,Italy,243736,196246,35017
2020-07-16,Jamaica,765,647,10
2020-07-16,Japan,23510,18641,985
2020-07-16,Jordan,1206,1019,10
2020-07-16,Kazakhstan,66895,40256,375
2020-07-16,Kenya,11673,3638,217
2020-07-16,"Korea, South",13672,12460,293
2020-07-16,Kosovo,5237,2462,112
2020-07-16,Kuwait,57668,47545,402
2020-07-16,Kyrgyzstan,12498,3735,167
2020-07-16,Laos,19,19,0
2020-07-16,Latvia,1179,1022,31
2020-07-16,Lebanon,2599,1485,40
2020-07-16,Lesotho,256,48,3
2020-07-16,Liberia,1070,486,68
2020-07-16,Libya,1652,379,46
2020-07-16,Liechtenstein,84,81,1
2020-07-16,Lithuania,1902,1593,79
2020-07-16,Luxembourg,5285,4275,111
2020-07-16,MS Zaandam,9,0,2
2020-07-16,Madagascar,6089,2951,53
2020-07-16,Malawi,2712,1073,51
